Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
44000	173.76	51.006493704233385	173.76	758	0.20799999999999996	0.0005	0.0074681884050369265
45000	176.86	48.71755741003443	176.86	763	0.18999999999999995	0.0005	0.00766945997873942
46000	179.78	46.82575786893363	179.78	768	0.17199999999999993	0.0005	0.007883531649907431
47000	180.91	48.37584004438579	181.64	773	0.15400000000000003	0.0005	0.008094680309295655
48000	181.48	48.35875928929526	181.64	778	0.136	0.0005	0.008310810327529908
49000	183.49	45.968792675031175	183.49	783	0.118	0.0005	0.008528083893987867
50000	186.65	41.32441772124564	186.65	788	0.1	0.0005	0.008747830854521858
51000	192.04	30.270751559880377	192.04	793	0.0984	0.0005	0.008966224988301595
52000	194.14	26.193900053256677	194.14	798	0.09680000000000001	0.0005	0.00919575419690874
53000	195.56	22.645229078108265	195.56	803	0.0952	0.0005	0.009414990610546537
54000	195.16	22.91493835907049	195.56	809	0.0936	0.0005	0.009634811679522197
55000	195.68	22.42359471628044	195.68	814	0.092	0.0005	0.009852644801139832
56000	195.68	22.42359471628044	195.68	819	0.09040000000000001	0.0005	0.010075483388370938
57000	196.35	21.523649783435896	196.35	824	0.0888	0.0005	0.010285620821846857
58000	196.94	19.686960151328588	196.94	829	0.0872	0.0005	0.010495635006162855
59000	197.35	19.31599078483938	197.35	834	0.08560000000000001	0.0005	0.01070933308866289
60000	197.19	19.345126001140436	197.35	839	0.084	0.0005	0.010925270054075453
61000	197.1	19.352777578425282	197.35	844	0.0824	0.0005	0.011140380303064983
62000	195.81	20.449789729970334	197.35	850	0.08080000000000001	0.0005	0.011341703600353664
63000	194.37	21.37739694162973	197.35	855	0.0792	0.0005	0.0115453083647622
64000	192.42	23.061300917337686	197.35	861	0.0776	0.0005	0.01175010085105896
65000	190.63	23.73674577527425	197.35	867	0.07600000000000001	0.0005	0.011956771148575678
66000	191.1	16.524829802451826	197.35	873	0.07440000000000001	0.0005	0.012159184217453003
67000	188.9	18.09171080909708	197.35	879	0.0728	0.0005	0.01236970841884613
68000	187.78	18.72782955924151	197.35	885	0.07120000000000001	0.0005	0.012609406643443637
69000	186.4	19.221342304844377	197.35	890	0.06960000000000001	0.0005	0.01281818840238783
70000	185.93	19.45623550433125	197.35	895	0.068	0.0005	0.013023201690779793
71000	184.52	20.09302366494401	197.35	901	0.06640000000000001	0.0005	0.013228534791204664
72000	182.29	26.763891720002157	197.35	908	0.0648	0.0005	0.013434874150488111
73000	180.99	27.05974685764817	197.35	913	0.0632	0.0005	0.013641712533103095
74000	177.24	32.26549860144734	197.35	920	0.06160000000000001	0.0005	0.013850374751620823
75000	175.71	32.41551943128476	197.35	926	0.060000000000000005	0.0005	0.014063507252269321
76000	173.61	32.73221501823548	197.35	932	0.0584	0.0005	0.014268583324220445
77000	171.84	33.045035935825524	197.35	938	0.0568	0.0005	0.014472585055563186
78000	166.44	42.4519304625832	197.35	946	0.0552	0.0005	0.01467715753449334
79000	155.39	55.063398914342365	197.35	958	0.05360000000000001	0.0005	0.014881745311948988
80000	149.08	61.68689974378677	197.35	968	0.052000000000000005	0.0005	0.015091101460986666
81000	148.56	63.41266750421402	197.35	974	0.05040000000000001	0.0005	0.015300065014097426
82000	148.92	63.53639586882466	197.35	980	0.0488	0.0005	0.015506800280676948
83000	149.72	63.85077603287214	197.35	985	0.0472	0.0005	0.01571507030063205
84000	149.26	64.00759642417452	197.35	991	0.0456	0.0005	0.015922551684909397
85000	143.79	67.14794040028332	197.35	999	0.04400000000000001	0.0005	0.016132187512185838
86000	132.95	72.59715903532313	197.35	1011	0.04240000000000001	0.0005	0.01633945557806227
87000	134.17	73.26091113274528	197.35	1018	0.0408	0.0005	0.01654640860027737
88000	128.78	76.16699810285292	197.35	1027	0.039200000000000006	0.0005	0.016755966477923923
89000	127.78	76.99150342732632	197.35	1034	0.0376	0.0005	0.016963096989525688
90000	125.28	77.75976851817397	197.35	1043	0.036000000000000004	0.0005	0.017169257269965276
91000	124.64	78.16079835825629	197.35	1049	0.034400000000000014	0.0005	0.01737563583585951
92000	129.54	78.04427205118898	197.35	1057	0.03280000000000001	0.0005	0.01758300867345598
93000	135.44	76.18402982252908	197.35	1062	0.031200000000000006	0.0005	0.01779056641790602
94000	139.17	74.54636879151124	197.35	1068	0.0296	0.0005	0.01799983561038971
95000	139.68	74.88616427618656	197.35	1073	0.027999999999999997	0.0005	0.018214409748713176
96000	141.84	74.15291228266089	197.35	1079	0.026400000000000007	0.0005	0.018421758347087435
97000	141.67	74.08185405347251	197.35	1084	0.024800000000000003	0.0005	0.018630317780706618
98000	142.9	74.32476034270141	197.35	1089	0.023200000000000012	0.0005	0.018838755554623075
99000	143.93	74.74399708337788	197.35	1094	0.021600000000000008	0.0005	0.01904810302787357
100000	149.42	71.81339429382238	197.35	1100	0.02	0.0005	0.019256616433461507
